Si	PRO:pers
esaminano	VER:pres
e	CON
discutono	VER:pres
,	PON
anche	ADV
con	PRE
l'	DET:def
apporto	NOM
di	PRE
ulteriori	ADJ
dati	NOM
,	PON
le	DET:def
edizioni	NOM
curate	ADJ
da	PRE
A.	NPR
M.	NOM
I.	NPR
Van	NPR
Oppenraij	NOM
delle	PRE:det
traduzioni	NOM
di	PRE
Michele	NPR
Scoto	NOM
del	PRE:det
«	PON
De	NPR
partibus	NOM
animalium	NOM
»	PON
e	CON
del	PRE:det
«	PON
De	NPR
generatione	NOM
animalium	NOM
»	PON
(	PON
=>	NOM
74-00498	NUM
;	PON
66-00548	NUM
)	PON
,	PON
l'	DET:def
edizione	NOM
della	PRE:det
compilazione	NOM
di	PRE
Pietro	NPR
Gallego	VER:pres
intitolata	VER:pper
«	PON
Liber	NOM
de	NPR
animalibus	NOM
»	PON
,	PON
a	PRE
cura	NOM
di	PRE
J.	NOM
M.	NOM
Gázquez	NOM
(	PON
=>	NOM
75-00517	NUM
)	PON
,	PON
e	CON
l'	DET:def
edizione	NOM
della	PRE:det
traduzione	NOM
di	PRE
Guglielmo	NPR
di	PRE
Moerbeke	NOM
del	PRE:det
«	PON
De	NPR
historia	ADJ
animalium	NOM
»	PON
,	PON
portata	VER:pper
a	PRE
termine	NOM
da	PRE
P.	NOM
Beullens	NOM
e	CON
F.	LS
Bossier	NOM
(	PON
=>	NOM
73-00529	NUM
)	PON
.	SENT

Segnalazione	NOM
della	PRE:det
raccolta	NOM
di	PRE
atti	NOM
schedata	ADJ
70-00518	NUM
e	CON
del	PRE:det
volume	NOM
di	PRE
S.	NOM
Perfetti	NOM
sull'	PRE:det
argomento	NOM
(	PON
=>	NOM
73-00567	NUM
)	PON

