Il	PRO:PER
existe	VER:pres
,	PUN
dans	PRP
le	DET:ART
roman	NOM
de	PRP
Chariton	NAM
,	PUN
un	DET:ART
mélange	NOM
permanent	ADJ
d'	PRP
éléments	NOM
du	PRP:det
5e	NUM
s.	ABR
av	NOM
.	SENT

J.	ABR
-C	ADJ
.	SENT
,	PUN
introduits	VER:pper
volontairement	ADV
par	PRP
l'	DET:ART
auteur	NOM
dans	PRP
le	DET:ART
cadre	NOM
historique	ADJ
,	PUN
et	KON
d'	PRP
influences	NOM
contemporaines	ADJ
,	PUN
anachroniques	ADJ
et	KON
inconscientes	ADJ
.	SENT

Analyse	NOM
de	PRP
ces	PRO:DEM
différents	ADJ
éléments	NOM
classés	VER:pper
géographiquement	ADV
:	PUN
institutions	NOM
de	PRP
Syracuse	NAM
,	PUN
institutions	NOM
de	PRP
l'	DET:ART
empire	NOM
perse	ADJ
,	PUN
institutions	NOM
d'	PRP
Égypte	NAM

