Se	SE
analiza	VLfin
la	ART
identidad	NC
o	CC
la	ART
confusión	NC
entre	PREP
la	ART
historia	NC
de	PREP
los	ART
godos	NC
y	CC
la	ART
de	PREP
los	ART
getas	NC
en	PREP
la	ART
obra	NC
,	CM
entre	PREP
otros	QU
historiadores	NC
,	CM
de	PREP
autores	NC
de	PREP
la	ART
Antigüedad	NC
tardía	ADJ
como	CSUBX
Orosio	NP
y	CC
Jordanes	NP
.	FS

Mitos	NC
,	CM
leyendas	NC
e	CC
historia	NC
de	PREP
otros	QU
pueblos	NC
fueron	VSfin
incorporados	VLadj
a	PREP
la	ART
historia	NC
de	PREP
los	ART
godos	NC
como	CSUBX
una	ART
forma	NC
de	PREP
engrandecimiento	NC
de	PREP
su	PPO
pasado	VLadj
,	CM
de	PREP
justificación	NC
y	CC
de	PREP
legitimación	NC
social	ADJ
y	CC
política	ADJ
.	FS

Al	CSUBI
asentarse	VLinf
los	ART
godos	NC
en	PREP
Hispania	NP
y	CC
formarse	VCLIinf
la	ART
idea	NC
de	PREP
nación	NC
gótica	ADJ
con	PREP
Isidoro	NP
de	PREP
Sevilla	NP
,	CM
parte	NC
de	PREP
la	ART
historia	NC
de	PREP
los	ART
getas	NC
y	CC
de	PREP
los	ART
dacios	NC
quedará	VLfin
incorporada	VLadj
a	PREP
la	ART
historia	NC
nacional	ADJ
española	NC

