Se	SE
presentan	VLfin
dos	CARD
inscripciones	NC
inéditas	ADJ
,	CM
ambas	QU
conservadas	VLadj
en	PREP
Valencia	NP
,	CM
si bien	CSUBF
«	SYM
alienae	VLfin
»	SYM
.	FS

La	ART
primera	ORD
,	CM
dedicada	VLadj
a	PREP
«	SYM
I(uppiter	NC
)	RP
O(ptimus	NP
)	RP
M(aximus	NC
)	RP
K(apitolinus	NP
)	RP
»	SYM
,	CM
procede	VLfin
seguramente	ADV
de	PREP
Isturgi	NP
(	LP
Andújar	NP
,	CM
Jáen	NP
)	RP
y	CC
puede	VMfin
datarse	VLinf
a	PREP
finales	NC
del	PDEL
s.	NC
2°	NC
o	CC
principios	NC
del	PDEL
s.	NC
3°	NC
.	FS

Cabe	VLfin
resaltar	VLinf
la	ART
aparición	NC
del	PDEL
apelativo	NC
«	SYM
conseruator	NC
generis	ADJ
humani	NP
»	SYM
aplicado	VLadj
a	PREP
Júpiter	NP
por	PREP
primera	ORD
y	CC
única	ADJ
vez	NC
.	FS

En	PREP
la	ART
segunda	ORD
,	CM
una	ART
inscripción	NC
sepulcral	NC
originaria	ADJ
posiblemente	ADV
de	PREP
Mérida	NP
y	CC
datable	VLfin
en	PREP
la	ART
segunda	ORD
mitad	NC
del	PDEL
s.	NC
2°	NC
,	CM
figura	VLfin
un	ART
matrimonio	NC
conocido	VLadj
también	ADV
por	PREP
otra	QU
inscripción	NC
de	PREP
Roma	NP
(	LP
CIL	NC
6	CARD
,	CM
13820	CARD
)	RP

