Se	SE
trata	VLfin
de	PREP
tres	CARD
piezas	NC
halladas	VLadj
a	PREP
finales	NC
de	PREP
1998	CARD
en	PREP
la	ART
finca	NC
Los	ART
Mercados	NP
:	COLON
un	ART
fragmento	NC
triangular	ADJ
procedente	VLadj
de	PREP
una	ART
«	SYM
tabula	VLfin
aenae	NC
»	SYM
,	CM
con	PREP
la	ART
inscripción	NC
«	SYM
C(aius	NC
)	RP
V(alerius	NC
?	FS
)	RP
»	SYM
;	SEMICOLON
una	ART
fíbula	NC
de	PREP
tipo	NC
«	SYM
Aucissa	NC
B	ALFS
»	SYM
con	PREP
el	ART
texto	NC
«	SYM
Durnacos	NP
»	SYM
;	SEMICOLON
y	CC
una	ART
lámina	NC
con	PREP
el	ART
texto	NC
muy	ADV
deteriorado	VLadj
«	SYM
--	DASH
-	DASH
(	LP
?	FS
)	RP
/	SLASH
CO	NC
·	NC
[	LP
--	DASH
-	DASH
]	RP
/	SLASH
oni	NP
·	NC
v	CARD
[	LP
--	DASH
-	DASH
]	RP
/	SLASH
bos	NC
·	NC
n	ALFS
[	LP
--	DASH
-	DASH
]	RP
/	SLASH
andr[-	ACRNM
--	DASH
]	RP
/	SLASH
amb[-	ACRNM
--	DASH
]	RP
/	SLASH
--	DASH
-	DASH
»	SYM
,	CM
que	CQUE
podría	VMfin
ser	VSinf
una	ART
tésera	NC
de	PREP
hospitalidad	NC

