Ausgehend	ADJD
von	APPR
generellen	ADJA
Überlegungen	NN
zur	APPRART
Problematik	NN
der	ART
Benutzung	NN
von	APPR
Fragmenten	NN
zeigt	VVFIN
ein	ART
Überblick	NN
über	APPR
die	ART
Fragmente	NN
des	ART
Dialogs	NN
,	$,
dass	KOUS
sie	PPER
vor	APPR
jeder	PIAT
inhaltlichen	ADJA
Interpretation	NN
auf	APPR
den	ART
Status	NN
,	$,
das	ART
Erkenntnisinteresse	NN
des	ART
exzerpierenden	ADJA
Autors	NN
,	$,
seine	PPOSAT
Exzerpiertechnik	NN
und	KON
den	ART
Kontext	NN
hin	APZR
befragt	VVPP
werden	VAINF
müssen	VMFIN
.	$.

Auf	APPR
dieser	PDAT
Basis	NN
muss	VMFIN
man	PIS
der	ART
spezifischen	ADJA
Eigenart	NN
des	ART
Dialogs	NN
auf	APPR
die	ART
Spur	NN
kommen	VVINF
und	KON
die	ART
Frage	NN
stellen	VVINF
,	$,
ob	KOUS
ein	ART
Fragment	NN
auch	ADV
Ausdruck	NN
der	ART
Meinung	NN
eines	ART
Gesprächspartners	NN
sein	VAINF
kann	VMFIN
.	$.

