La	DET:def
digressione	NOM
straboniana	ADJ
sul	PRE:det
giudaismo	NOM
(	PON
15	NUM
,	PON
2	NUM
,	PON
34-46	NUM
)	PON
,	PON
di	PRE
cui	PRO:rela
si	PRO:pers
può	VER:pres
riconoscere	VER:infi
una	DET:indef
prima	ADJ
fase	NOM
positiva	ADJ
e	CON
una	DET:indef
successiva	ADJ
negativa	NOM
,	PON
potrebbe	VER:cond
avere	VER:infi
come	PRE
fonti	NOM
autori	NOM
greci	ADJ
o	CON
un	DET:indef
anonimo	ADJ
giudeo	NOM
,	PON
portavoce	NOM
di	PRE
quei	PRO:demo
giudei	ADJ
«	PON
ellenisti	NOM
»	PON
che	PRO:rela
volevano	VER:impf
rendere	VER:infi
Gerusalemme	NPR
una	DET:indef
città-stato	NOM
greca	ADJ

