Se	SE
considera	VLfin
desde	PREP
los	ART
puntos	NC
de	PREP
vista	NC
biográfico	ADJ
y	CC
metaliterario	ADJ
una	ART
selección	NC
de	PREP
«	SYM
autoepitafios	NC
»	SYM
latinos	ADJ
escritos	VLadj
por	PREP
autores	NC
cultos	ADJ
,	CM
en	PREP
su	PPO
mayor	ADJ
parte	NC
poetas	NC
,	CM
de	PREP
entre	PREP
los	ART
siglos	NC
2°	NC
a.	NC
C.	ACRNM
y	CC
13°	NC
d.	NC
C.	ACRNM
Los	ART
autores	NC
más	ADV
tempranos	ADJ
asocian	VLfin
la	ART
inmortalidad	NC
a	PREP
la	ART
supervivencia	NC
de	PREP
la	ART
obra	NC
escrita	VLadj
y	CC
al	PAL
recuerdo	NC
del	PDEL
difunto	NC
,	CM
mientras que	CSUBX
los	ART
autores	NC
posteriores	ADJ
,	CM
cristianos	ADJ
,	CM
consideran	VLfin
la	ART
inmortalidad	NC
como	CSUBX
un	ART
don	NC
de	PREP
Dios	NC

