Discusses	VBZ
Catullus	NP
63	CD
from	IN
three	CD
angles	NNS
,	,
connected	VBN
by	IN
the	DT
common	JJ
factor	NN
of	IN
change	NN
or	CC
alteration	NN
:	:
ethnicity	NN
,	,
the	DT
poem	NN
's	POS
alteration	NN
of	IN
Attis	NP
'	POS
previous	JJ
ethnic	JJ
identity	NN
to	TO
make	VB
him	PP
Greek	JJ
and	CC
to	TO
stress	VB
the	DT
contrast	NN
with	IN
the	DT
poem	NN
's	POS
Asiatic	JJ
setting	NN
;	:
gender	NN
,	,
its	PP$
transsexual	NN
use	NN
of	IN
previous	JJ
female	JJ
literary	JJ
characters	NNS
as	IN
models	NNS
for	IN
Attis	NP
'	POS
two	CD
speeches	NNS
;	:
and	CC
genre	NN
,	,
the	DT
literary	JJ
form	NN
of	IN
the	DT
poem	NN
and	CC
its	PP$
alteration	NN
and	CC
mixture	NN
of	IN
various	JJ
types	NNS
of	IN
generic	JJ
antecedent	NN
.	SENT

