Si	PRO:pers
delineano	VER:pres
i	DET:def
rapporti	NOM
fra	PRE
Callimaco	NOM
e	CON
Posidippo	NOM
nel	PRE:det
panorama	NOM
culturale	ADJ
e	CON
letterario	ADJ
del	PRE:det
primo	ADJ
ellenismo	NOM
,	PON
con	PRE
esame	NOM
,	PON
per	PRE
entrambi	ADJ
i	DET:def
poeti	NOM
,	PON
di	PRE
occasioni	NOM
,	PON
committenti	NOM
e	CON
pubblico	NOM
,	PON
di	PRE
motivi	NOM
e	CON
funzioni	NOM
degli	PRE:det
epigrammi	NOM
,	PON
di	PRE
allusioni	NOM
e	CON
riprese	NOM
reciproche	ADJ
,	PON
di	PRE
poetica	NOM
e	CON
di	PRE
polemiche	NOM
letterarie	ADJ
e	CON
politico-sociali	VER:impe

