Im	APPRART
Fastenlied	NN
des	ART
Prudentius	NN
weichen	VVFIN
die	ART
fünf	CARD
Beispiele	NN
aus	APPR
dem	ART
Alten	ADJA
und	KON
Neuen	ADJA
Testament	NN
(	$(
Elias	NE
,	$,
Moses	NE
,	$,
Johannes	NE
der	ART
Täufer	NN
,	$,
Jonas	NE
,	$,
Jesus	NE
)	$(
,	$,
die	PRELS
das	ART
wissenschaftliche	ADJA
Plädoyer	NN
für	APPR
das	ART
Fasten	NN
unterstützen	VVINF
sollen	VMFIN
,	$,
nicht	PTKNEG
nur	ADV
von	APPR
der	ART
biblischen	ADJA
Chronologie	NN
ab	PTKVZ
,	$,
sondern	KON
weisen	VVFIN
gegenüber	APPR
den	ART
biblischen	ADJA
Originalen	ADJA
Veränderungen	NN
auf	PTKVZ
,	$,
die	PRELS
sie	PPER
ganz	ADV
dem	ART
Thema	NN
Fasten	NN
unterordnen	VVFIN
.	$.

