Se	SE
discuten	VLfin
tres	CARD
puntualizaciones	NC
léxicas	ADJ
de	PREP
G.	NC
Guidorizzi	NP
en	PREP
su	PPO
reciente	ADJ
traducción	NC
y	CC
comentario	NC
de	PREP
la	ART
obra	NC
de	PREP
Higino	NP
(	LP
=>	NC
71-02699	CARD
)	RP
relativas	ADJ
a	PREP
:	COLON
uso	NC
de	PREP
«	SYM
cor	NC
»	SYM
en lugar de	PREP
«	SYM
iecur	NC
»	SYM
(	LP
fab.	NC
31	CARD
,	CM
5	CARD
)	RP
,	CM
traducción	NC
de	PREP
«	SYM
filius	NC
»	SYM
por	PREP
«	SYM
nieto	NC
»	SYM
(	LP
fab.	NC
121	CARD
,	CM
3	CARD
)	RP
,	CM
y	CC
presencia	NC
del	PDEL
femenino	ADJ
insólito	ADJ
«	SYM
Tartara	NP
»	SYM
(	LP
fab.	NC
152	CARD
,	CM
1	CARD
)	RP

