Se	SE
estudia	VLfin
el	ART
papel	NC
desempeñado	VLadj
por	PREP
las	ART
mujeres	NC
en	PREP
el	ART
proceso	NC
colonizador	ADJ
griego	ADJ
.	FS

La	ART
mayoría	NC
de	PREP
los	ART
autores	NC
que	CQUE
estudian	VLfin
este	DM
movimiento	NC
colonial	ADJ
niegan	VLfin
la	ART
presencia	NC
de	PREP
mujeres	NC
en	PREP
los	ART
contingentes	NC
coloniales	ADJ
y	CC
afirman	VLfin
que	CQUE
los	ART
componentes	NC
de	PREP
estas	DM
expediciones	NC
tomarían	VLfin
como	CSUBX
esposas	NC
a	PREP
mujeres	NC
indígenas	ADJ
.	FS

Sin embargo	ADV
,	CM
la	ART
existencia	NC
de	PREP
este	DM
tipo	NC
de	PREP
uniones	NC
no	NEG
es	VSfin
un	ART
impedimento	NC
para	CSUBI
admitir	VLinf
la	ART
presencia	NC
de	PREP
algunas	QU
mujeres	NC
en	PREP
los	ART
contingentes	NC
coloniales	ADJ
,	CM
como	CSUBX
lo	PPC
atestiguan	VLfin
diversas	QU
fuentes	NC
literarias	ADJ
.	FS

