There	EX
is	VBZ
a	DT
tension	NN
between	IN
the	DT
understanding	NN
of	IN
the	DT
term	NN
«	)
workshop	NN
»	(
in	IN
art-historical	JJ
scholarship	NN
and	CC
the	DT
actual	JJ
locations	NNS
of	IN
production	NN
unearthed	VBN
by	IN
archaeologists	NNS
.	SENT

A	DT
comprehensive	JJ
sense	NN
of	IN
the	DT
overall	JJ
conditions	NNS
of	IN
ancient	JJ
art	NN
production	NN
can	MD
be	VB
obtained	VBN
only	RB
by	IN
drawing	VBG
together	RB
two	CD
groups	NNS
of	IN
data	NNS
:	:
the	DT
common	JJ
artistic	JJ
features	NNS
of	IN
preserved	VBN
works	NNS
,	,
which	WDT
have	VBP
been	VBN
explained	VBN
as	IN
deriving	VBG
form	NN
the	DT
same	JJ
school	NN
;	:
and	CC
the	DT
results	NNS
obtained	VBN
from	IN
relatively	RB
successful	JJ
research	NN
at	IN
several	JJ
ancient	JJ
centers	NNS
of	IN
production	NN
.	SENT

