It	PP
is	VBZ
believed	VBN
that	IN
,	,
in	IN
wartime	NN
,	,
legionary	JJ
detachments	NNS
or	CC
«	)
uexillationes	NNS
»	(
were	VBD
commanded	VBN
by	IN
senatorial	JJ
and	CC
later	RBR
equestrian	JJ
officers	NNS
,	,
whereas	IN
centurions	NNS
were	VBD
entrusted	VBN
with	IN
detachments	NNS
raised	VBN
for	IN
garrison	NN
duty	NN
or	CC
work-related	JJ
tasks	NNS
in	IN
peacetime	NN
.	SENT

However	RB
,	,
literary	JJ
(	(
e.	FW
g.	FW
,	,
ps	NNS
.	SENT
-Hyginus	NN
)	)
and	CC
epigraphic	JJ
sources	NNS
(	(
CIL	NP
3	CD
,	,
6052	CD
;	:
6	CD
,	,
421	CD
;	:
10	CD
,	,
5829	CD
;	:
14	CD
,	,
3612	CD
)	)
suggest	VBP
that	IN
,	,
even	RB
from	IN
the	DT
mid-1st	NP
cent	NN
.	SENT

A.	NP
D.	NP
,	,
the	DT
usual	JJ
leader	NN
of	IN
fighting-detachments	NNS
of	IN
up	IN
to	TO
500	CD
legionaries	NNS
was	VBD
the	DT
centurion	NN
.	SENT

