Se	SE
ofrece	VLfin
una	ART
visión	NC
actualizada	VLadj
de	PREP
diversas	QU
cuestiones	NC
en	PREP
torno	NC
a	PREP
Amiano	ADJ
Marcelino	NC
:	COLON
concepción	NC
de	PREP
la	ART
historia	NC
,	CM
imparcialidad	NC
,	CM
estructura	NC
y	CC
«	SYM
breuitas	NC
»	SYM
,	CM
historia	NC
y	CC
encomio	VLfin
;	SEMICOLON
finalmente	ADV
,	CM
una	ART
interpretación	NC
de	PREP
las	ART
«	SYM
Res	NC
Gestae	NC
»	SYM
en función de	PREP
los	ART
criterios	NC
que	CQUE
recorren	VLfin
e	CC
inspiran	VLfin
la	ART
obra	NC
de	PREP
este	DM
historiador	NC
.	FS

