Como	CSUBX
ejemplifican	VLfin
los	ART
pares	NC
de	PREP
epigramas	NC
18-19	CARD
y	CC
32-33	CARD
del	PDEL
mencionado	ADJ
libro	NC
,	CM
Marcial	NP
ordena	VLfin
algunas	QU
de	PREP
sus	PPO
composiciones	NC
mediante	PREP
la	ART
técnica	NC
consistente	ADJ
en	PREP
yuxtaponer	ADJ
epigramas	NC
que	CQUE
aparentemente	ADV
son	VSfin
dispares	VLfin
en	PREP
tono	NC
y	CC
en	PREP
contenido	NC
,	CM
pero	CCAD
que	CQUE
comparten	VLfin
ecos	NC
léxicos	ADJ
.	FS

De	PREP
este	DM
modo	NC
,	CM
Marcial	NP
multiplica	VLfin
sus	PPO
connotaciones	NC
y	CC
sentidos	NC
,	CM
creando	VLger
una	ART
especie	NC
de	PREP
realismo	NC
poético	ADJ
que	CQUE
refleja	VLfin
la	ART
mezcolanza	NC
de	PREP
experiencias	NC
e	CC
impresiones	NC
que	CQUE
intervienen	VLfin
en	PREP
la	ART
compleja	ADJ
realidad	NC

