Se	SE
defiende	VLfin
que	CQUE
la	ART
consideración	NC
de	PREP
la	ART
provincia	NC
Bética	ADJ
en	PREP
el	ART
conjunto	NC
del	PDEL
Imperio	NC
romano	VLfin
era	VEfin
muy	ADV
superior	ADJ
a	PREP
lo	ART
pensado	VLadj
hasta ahora	ADV
.	FS

El	ART
gobierno	NC
de	PREP
la	ART
Bética	NC
no	NEG
suponía	VLfin
ningún	QU
«	SYM
frenazo	VLfin
»	SYM
en	PREP
el	ART
«	SYM
cursus	NC
»	SYM
de	PREP
un	ART
senador	NC
,	CM
ni	CCNEG
esta	DM
provincia	NC
,	CM
como	CSUBX
podía	VLfin
ser	VSinf
el	ART
caso	NC
de	PREP
otras	QU
,	CM
estaba	VEfin
infravalorada	ADJ
,	CM
de	PREP
tal	QU
modo	NC
que	CQUE
su	PPO
gobierno	NC
no	NEG
fuera	VSfin
atractivo	ADJ
para	PREP
la	ART
promoción	NC
de	PREP
un	ART
senador	NC
.	FS

