Mise	VER:pper
en	PRP
parallèle	NOM
des	PRP:det
données	NOM
archéologiques	ADJ
de	PRP
la	DET:ART
vallée	NOM
de	PRP
l'	DET:ART
Èbre	NOM
et	KON
de	PRP
celles	PRO:DEM
d'	PRP
Aquitaine	NAM
,	PUN
comparables	ADJ
sur	PRP
plusieurs	PRO:IND
points	NOM
,	PUN
avec	PRP
l'	DET:ART
opposition	NOM
«	PUN:cit
ville-campagne	NOM
»	PUN:cit
,	PUN
thème	NOM
littéraire	ADJ
que	PRO:REL
l'	DET:ART
on	PRO:PER
trouve	VER:pres
en	PRP
particulier	NOM
chez	PRP
Martial	NAM
et	KON
chez	PRP
Ausone	NAM
,	PUN
originaires	ADJ
de	PRP
l'	DET:ART
une	DET:ART
et	KON
l'	DET:ART
autre	ADJ
région	NOM

