Se	SE
defiende	VLfin
que	CQUE
los	ART
estoicos	ADJ
pudieron	VLfin
conocer	VLinf
algunas	QU
posiciones	NC
aristotélicas	ADJ
y	CC
que	CQUE
tuvieron	VLfin
en	PREP
cuenta	NC
algunas	QU
de	PREP
las	ART
críticas	NC
de	PREP
Aristóteles	NC
al	PAL
socratismo	NC
relativas	ADJ
a	PREP
:	COLON
el	ART
examen	NC
de	PREP
la	ART
acción	NC
;	SEMICOLON
los	ART
estados	NC
emocionales	ADJ
;	SEMICOLON
y	CC
las	ART
relaciones	NC
existentes	ADJ
entre	PREP
el	ART
estado	NC
cognitivo	ADJ
del	PDEL
agente	NC
y	CC
la	ART
elección	NC
de	PREP
un	ART
curso	NC
de	PREP
acción	NC
determinado	VLadj

