Se	SE
rastrean	VLfin
los	ART
principios	NC
básicos	ADJ
que	CQUE
sirvieron	VLfin
a	PREP
Aristóteles	NC
en	PREP
la	ART
redacción	NC
de	PREP
su	PPO
«	SYM
Poética	ADJ
»	SYM
,	CM
partiéndose	VLadj
de	PREP
la	ART
idea	NC
de	PREP
que	CQUE
las	ART
reflexiones	NC
aristotélicas	ADJ
sobre	PREP
la	ART
poética	ADJ
son	VSfin
el	ART
resultado	NC
de	PREP
su	PPO
filosofar	NC
sobre	PREP
doctrinas	NC
,	CM
creencias	NC
y	CC
conceptos	NC
vigentes	ADJ
en	PREP
su	PPO
época	NC
y	CC
que	CQUE
constituían	VLfin
por	PREP
sí	PPX
mismos	ADJ
ya	ADV
una	ART
especie	NC
de	PREP
poética	ADJ
.	FS

