Examines	VBZ
the	DT
role	NN
of	IN
the	DT
tribunate	NN
in	IN
the	DT
period	NN
from	IN
287-133	CD
BC	NP
.	SENT

Instead	RB
of	IN
a	DT
cowed	VBN
institution	NN
,	,
acting	VBG
as	IN
a	DT
pawn	NN
of	IN
the	DT
senatorial	JJ
aristocracy	NN
,	,
the	DT
tribunate	NN
consistently	RB
fulfilled	VBD
its	PP$
prime	JJ
function	NN
:	:
to	TO
act	VB
in	IN
the	DT
best	JJS
interests	NNS
of	IN
the	DT
People	NNS
.	SENT

It	PP
did	VBD
this	DT
via	IN
the	DT
use	NN
of	IN
the	DT
veto	NN
,	,
through	IN
actions	NNS
in	IN
the	DT
law	NN
courts	NNS
and	CC
by	IN
the	DT
passing	NN
of	IN
legislation	NN
.	SENT

