Se	SE
examinan	VLfin
dos	CARD
recepciones	NC
probables	ADJ
de	PREP
tragedias	NC
sofocleas	VLfin
en	PREP
el	ART
ámbito	NC
de	PREP
la	ART
poesía	NC
cínica	ADJ
:	COLON
una	ART
,	CM
en	PREP
la	ART
tragedia	NC
que	CQUE
Diógenes	NC
de	PREP
Sinope	NC
dedicó	VLfin
a	PREP
Edipo	NC
;	SEMICOLON
otra	QU
,	CM
en	PREP
un	ART
fragmento	NC
del	PDEL
poeta	NC
Cércidas	NC
de	PREP
Megalópolis	NC
sobre	PREP
la	ART
muerte	NC
del	PDEL
propio	ADJ
Diógenes	NC
(	LP
fr.	NC
54	CARD
Livrea	NC
=	SYM
60	CARD
Lomiento	NC
)	RP
.	FS

