Se	SE
sugiere	VLfin
que	CQUE
Lucrecio	VLfin
utilizó	VLfin
como	CSUBX
fuente	NC
del	PDEL
libro	NC
4	CARD
de	PREP
su	PPO
poema	NC
extractos	NC
griegos	ADJ
,	CM
resúmenes	NC
y	CC
sumarios	ADJ
críticos	ADJ
como	CSUBX
el	ART
«	SYM
De	PREP
sensibus	NC
»	SYM
de	PREP
Teofrasto	NC
,	CM
obra	NC
que	CQUE
Sila	NP
trajo	VLfin
a	PREP
Roma	NP
en	PREP
el	ART
87	CARD
a.	NC
C.	ACRNM
,	CM
tras	PREP
apoderarse	VCLIinf
de	PREP
la	ART
biblioteca	NC
que	CQUE
Neleo	VLfin
había	VHfin
heredado	VLadj
de	PREP
Teofrasto	NC

