Il	DET:def
fenomeno	NOM
monastico	ADJ
in	PRE
Sicilia	NPR
dalle	PRE:det
prime	ADJ
testimonianze	NOM
del	PRE:det
4°-5°	NOM
sec.	NOM
alla	PRE:det
crisi	NOM
iconoclasta	ADJ
dell'	PRE:det
8°	NOM
sec.	NOM
,	PON
con	PRE
particolare	ADJ
riferimento	NOM
ai	PRE:det
tre	ADJ
monasteri	NOM
presenti	ADJ
nel	PRE:det
territorio	NOM
siracusano	ADJ
nel	PRE:det
6°sec	NOM
.	SENT

:	PON
quello	PRO:demo
di	PRE
cui	PRO:rela
parla	VER:pres
Gregorio	NPR
Magno	NOM
in	PRE
Epist.	ABR
10	NUM
,	PON
1	NUM
e	CON
quelli	PRO:demo
di	PRE
S.	NOM
Lucia	NPR
e	CON
di	PRE
S.	NOM
Pietro	NPR
ad	PRE
Baias	NOM

