Si	PRO:pers
presentano	VER:pres
i	DET:def
risultati	NOM
di	PRE
un'	DET:indef
indagine	NOM
svolta	VER:pper
sui	PRE:det
reperti	NOM
rinvenuti	VER:pper
in	PRE
sette	ADJ
necropoli	NOM
di	PRE
età	NOM
imperiale	ADJ
,	PON
tra	PRE
le	DET:def
quali	PRO:rela
quella	PRO:demo
di	PRE
via	NOM
Basiliano	NOM
(	PON
perferia	NOM
est	NOM
della	PRE:det
città	NOM
)	PON
.	SENT

Dalle	PRE:det
schede	NOM
tafonomiche	NOM
emerge	VER:pres
un	DET:indef
quadro	NOM
demografico	ADJ
dei	PRE:det
dintorni	NOM
dell'	PRE:det
Urbe	NOM
con	PRE
una	DET:indef
maggioranza	NOM
di	PRE
appartenenti	NOM
a	PRE
classi	NOM
socio-economiche	ADJ
modeste	ADJ
e	CON
un	DET:indef
alto	ADJ
tasso	NOM
di	PRE
mortalità	NOM
infantile	ADJ

