Se	SE
destacan	VLfin
seis	CARD
cualidades	NC
del	PDEL
«	SYM
Banquete	NC
»	SYM
que	CQUE
han	VHfin
favorecido	VLadj
que	CQUE
este	DM
diálogo	NC
platónico	ADJ
sea	VSfin
uno	CARD
de	PREP
los	ART
escritos	VLadj
filosóficos	ADJ
más	ADV
influyentes	ADJ
:	COLON
la	ART
excelente	ADJ
calidad	NC
literaria	ADJ
;	SEMICOLON
el	ART
acertado	VLadj
uso	NC
del	PDEL
diálogo	NC
en	PREP
el	ART
contexto	NC
de	PREP
un	ART
banquete	NC
,	CM
lo	ART
que	CQUE
permite	VLfin
presentar	VLinf
diversas	QU
perspectivas	NC
intelectuales	ADJ
y	CC
contrastar	VLinf
diferentes	ADJ
personalidades	NC
;	SEMICOLON
el	ART
planteamiento	NC
de	PREP
la	ART
cuestión	NC
religiosa	ADJ
del	PDEL
ascenso	NC
del	PDEL
alma	NC
en	PREP
un	ART
marco	NC
filosófico	ADJ
;	SEMICOLON
la	ART
distinción	NC
entre	PREP
el	ART
amor	NC
físico	ADJ
y	CC
el	ART
amor	NC
espiritual	ADJ
,	CM
que	CQUE
testimonian	VLfin
dos	CARD
formas	NC
de	PREP
relación	NC
interpersonal	ADJ
;	SEMICOLON
la	ART
concepción	NC
de	PREP
Eros	NP
como	CSUBX
una	ART
fuerza	NC
presente	ADJ
en	PREP
un	ART
amplio	ADJ
conjunto	NC
de	PREP
actividades	NC
humanas	ADJ
;	SEMICOLON
y	CC
la	ART
exploración	NC
de	PREP
las	ART
diversas	QU
orientaciones	NC
sexuales	ADJ
del	PDEL
ser	NC
humano	ADJ

