Se	SE
analizan	VLfin
los	ART
textos	NC
de	PREP
Filón	NP
que	CQUE
permiten	VLfin
esbozar	VLinf
las	ART
diferencias	NC
entre	PREP
el	ART
modo	NC
hebreo	ADJ
y	CC
el	ART
modo	NC
griego	ADJ
de	CSUBI
pensar	VLinf
el	ART
tiempo	NC
.	FS

En	PREP
el	ART
pensamiento	NC
filosófico	ADJ
filoniano	ADJ
confluyen	VLfin
la	ART
concepción	NC
de	PREP
la	ART
temporalidad	NC
como	ADV
ilimitada	ADJ
y	CC
eterna	ADJ
(	LP
concepción	NC
filosófica	ADJ
griega	ADJ
)	RP
y	CC
la	ART
doctrina	NC
de	PREP
la	ART
revelación	NC
(	LP
hebrea	ADJ
)	RP
.	FS

Filón	NC
es	VSfin
deudor	ADJ
indudable	ADJ
del	PDEL
«	SYM
Timeo	NC
»	SYM
de	PREP
Platón	NP
cuando	CSUBX
expresa	VLfin
que	CQUE
el	ART
tiempo	NC
es	VSfin
creado	VLadj
para	PREP
que	CQUE
el	ART
universo	NC
sea	VSfin
imagen	NC
móvil	ADJ
de	PREP
la	ART
eternidad	NC
,	CM
pero	CCAD
lo	ART
es	VSfin
también	ADV
de	PREP
la	ART
larga	ADJ
tradición	NC
sobre	PREP
la	ART
«	SYM
hebdómada	NC
»	SYM
en	PREP
referencia	NC
a	PREP
los	ART
seis	CARD
días	NC
bíblicos	ADJ
de	PREP
la	ART
creación	NC
del	PDEL
mundo	NC

