Se	SE
comentan	VLfin
diversos	QU
fragmentos	NC
de	PREP
Heráclito	NP
desde	PREP
la	ART
perspectiva	NC
del	PDEL
pensamiento	NC
como	CSUBX
aprendizaje	NC
,	CM
enfatizándose	VLadj
la	ART
idea	NC
según	PREP
la	ART
cual	REL
en	PREP
toda	QU
lectura	NC
e	CC
interpretación	NC
de	PREP
un	ART
texto	NC
está	VEfin
siempre	ADV
en	PREP
juego	NC
la	ART
capacidad	NC
de	PREP
pensar	VLinf
de	PREP
quien	REL
lee	VLfin
e	CC
interpreta	VLfin
.	FS

La	ART
tarea	NC
del	PDEL
pensador	NC
no	NEG
es	VSfin
formular	VLinf
respuestas	NC
ni	CCNEG
teorías	NC
sino	CCAD
examinar	VLinf
la	ART
irrupción	NC
de	PREP
las	ART
diversas	QU
respuestas	NC
y	CC
teorías	NC
en	PREP
los	ART
respectivos	ADJ
presupuestos	VLadj
que	CQUE
las	PPC
sustentan	VLfin

