«	)
Works	NPS
and	CC
days	NNS
»	(
cannot	MD
be	VB
reductively	RB
thought	VBN
of	IN
as	IN
a	DT
didactic	JJ
presentation	NN
to	TO
the	DT
Greek	JJ
farmer	NN
.	SENT

Analysis	NN
of	IN
Op.	NP
414-503	CD
in	IN
terms	NNS
of	IN
epic	NN
forms	NNS
suggests	VBZ
the	DT
development	NN
of	IN
a	DT
literary	JJ
figure	NN
:	:
the	DT
plowing	VBG
discussed	VBD
there	EX
stands	VBZ
for	IN
the	DT
human	JJ
condition	NN
.	SENT

The	DT
lines	NNS
establish	VB
the	DT
ideal	JJ
addressee	NN
's	POS
identity	NN
as	IN
someone	NN
engaged	VBN
in	IN
productive	JJ
activity	NN
,	,
and	CC
not	RB
so	RB
much	RB
a	DT
part	NN
of	IN
a	DT
theological	JJ
order	NN
as	IN
of	IN
a	DT
world	NN
that	WDT
includes	VBZ
gods	NNS
,	,
as	RB
opposed	VBN
to	TO
someone	NN
engaged	VBN
in	IN
helter-skelter	JJ
pursuit	NN
of	IN
transitory	JJ
activities	NNS
,	,
perhaps	RB
war	NN
specifically	RB
.	SENT

