Se	SE
señala	VLfin
la	ART
importancia	NC
de	PREP
dos	CARD
manuscritos	ADJ
que	CQUE
no	NEG
han	VHfin
sido	VSadj
tenidos	VLadj
en	PREP
cuenta	NC
por	PREP
los	ART
editores	NC
de	PREP
la	ART
citada	VLadj
obra	VLfin
de	PREP
Eratóstenes	NC
:	COLON
el	ART
de	PREP
Edimburgo	NP
,	CM
National	NP
Library	NP
of	PE
Scotland	NP
,	CM
Adu.	NP
18.7.15	CODE
,	CM
que	CQUE
es	VSfin
un	ART
autógrafo	NC
de	PREP
Máximo	NP
Planudes	ADJ
(	LP
ca	NP
.	FS
1290	CARD
)	RP
;	SEMICOLON
y	CC
el	ART
de	PREP
París	NP
,	CM
BNF	NP
,	CM
gr.	NP
1310	CARD
(	LP
siglo	NC
15°	NC
)	RP

