Se	SE
define	VLfin
en	PREP
qué	INT
consiste	VLfin
la	ART
teoría	NC
del	PDEL
silogismo	NC
práctico	ADJ
como	CSUBX
un	ART
elemento	NC
diferenciado	VLadj
dentro de	PREP
la	ART
teoría	NC
ética	ADJ
(	LP
o	CC
más	ADV
concretamente	ADV
,	CM
de	PREP
la	ART
teoría	NC
de	PREP
la	ART
acción	NC
)	RP
aristotélica	ADJ
.	FS

El	ART
análisis	NC
de	PREP
los	ART
elementos	NC
principales	ADJ
de	PREP
la	ART
teoría	NC
del	PDEL
silogismo	NC
práctico	ADJ
permite	VLfin
concluir	VLinf
que	CQUE
es	VSfin
posible	ADJ
defender	VLinf
la	ART
validez	NC
de	PREP
dicha	QU
teoría	NC
como	CSUBX
teoría	NC
independiente	ADJ
,	CM
no	NEG
reducible	VLfin
al	PAL
silogismo	NC
teórico	ADJ
(	LP
pues	CSUBF
la	ART
conclusión	NC
es	VSfin
una	ART
acción	NC
)	RP
ni	CCNEG
a	PREP
la	ART
explicación	NC
de	PREP
la	ART
acción	NC
a partir del	PDEL
deseo	NC
.	FS

