,filename,language,language_probability,n_annotations,n_entities,n_relations,n_tokens,selected
0,75-13923.txt,de,1.0,0,0,0,69,True
1,75-07293.txt,es,1.0,1,1,0,51,False
2,75-01074.txt,fr,1.0,2,2,0,94,False
3,75-04941.txt,fr,1.0,0,0,0,90,True
4,75-07985.txt,fr,1.0,0,0,0,53,True
5,75-02129.txt,it,1.0,4,6,2,39,False
6,75-13338.txt,it,1.0,0,0,0,69,True
7,75-07106.txt,it,0.999999999991,0,0,0,7,True
8,75-04943.txt,fr,1.0,1,2,0,48,False
9,75-09102.txt,en,1.0,0,0,0,33,True
10,75-08646.txt,fr,1.0,0,0,0,39,True
11,75-13882.txt,de,1.0,0,0,0,47,True
12,75-00163.txt,de,1.0,0,0,0,97,True
13,75-10312.txt,de,1.0,0,0,0,10,True
14,75-13222.txt,it,0.978740352586,0,0,0,6,True
15,75-12347.txt,it,0.99999999998,0,0,0,8,True
16,75-10785.txt,en,1.0,0,5,4,97,False
17,75-10815.txt,fr,1.0,4,5,4,121,True
18,75-11942.txt,fr,1.0,0,0,0,13,True
19,75-11661.txt,fr,1.0,0,0,0,68,True
20,75-00947.txt,de,1.0,0,0,0,55,True
21,75-10007.txt,it,1.0,0,0,0,23,True
22,75-00029.txt,it,1.0,4,4,0,19,False
23,75-12934.txt,en,1.0,0,0,0,139,True
24,75-00053.txt,fr,1.0,0,0,0,101,True
25,75-00521.txt,it,1.0,4,4,0,121,False
26,75-13827.txt,de,1.0,2,3,1,64,False
27,75-09506.txt,es,1.0,0,0,0,73,True
28,75-11513.txt,de,0.980365383799,0,0,0,5,True
29,75-04382.txt,de,0.999999938257,4,5,4,18,True
30,75-09702.txt,it,1.0,0,0,0,33,True
31,75-04650.txt,fr,1.0,0,0,0,45,True
32,75-11693.txt,fr,1.0,0,0,0,7,True
33,75-10856.txt,it,1.0,0,0,0,22,True
34,75-11792.txt,de,1.0,0,0,0,112,True
35,75-09717.txt,de,1.0,0,0,0,31,True
36,75-10648.txt,it,1.0,0,0,0,36,True
37,75-00016.txt,fr,1.0,0,0,0,24,True
38,75-05891.txt,it,1.0,0,2,1,39,False
39,75-07572.txt,fr,1.0,2,2,0,29,False
40,75-09754.txt,cs,0.396737294218,0,0,0,16,True
41,75-07591.txt,fr,1.0,0,0,0,4,True
42,75-08320.txt,it,1.0,0,0,0,84,True
43,75-13815.txt,fr,1.0,0,0,0,64,True
44,75-13124.txt,fr,1.0,0,1,0,64,False
45,75-13146.txt,it,1.0,0,0,0,49,True
46,75-13243.txt,it,1.0,0,0,0,9,True
47,75-13586.txt,fr,1.0,3,3,0,148,False
48,75-04991.txt,de,1.0,0,0,0,91,True
49,75-00422.txt,fr,1.0,0,0,0,81,True
50,75-07721.txt,fr,1.0,0,0,0,13,True
51,75-08835.txt,de,1.0,0,0,0,49,True
52,75-11915.txt,it,1.0,0,0,0,53,True
53,75-07360.txt,fr,1.0,0,0,0,59,True
54,75-09149.txt,de,1.0,0,0,0,20,True
55,75-06770.txt,it,1.0,0,0,0,49,True
56,75-02226.txt,de,1.0,0,0,0,45,True
57,75-01257.txt,it,1.0,0,0,0,5,True
58,75-00186.txt,fr,1.0,0,0,0,16,True
59,75-10182.txt,es,1.0,0,0,0,38,True
60,75-13742.txt,it,1.0,0,0,0,34,True
61,75-04506.txt,en,1.0,5,5,0,53,False
62,75-11697.txt,fr,1.0,0,0,0,112,True
63,75-00948.txt,en,1.0,0,1,0,64,False
64,75-08187.txt,fr,1.0,0,0,0,59,True
65,75-11566.txt,es,1.0,0,0,0,75,True
66,75-08476.txt,it,1.0,0,0,0,109,True
67,75-09930.txt,fr,1.0,0,0,0,73,True
68,75-01956.txt,it,1.0,1,1,0,44,False
69,75-04756.txt,it,1.0,6,6,4,28,True
70,75-07298.txt,es,1.0,0,0,0,72,True
71,75-03131.txt,fr,1.0,0,0,0,45,True
72,75-10318.txt,de,1.0,0,0,0,85,True
73,75-01348.txt,it,1.0,0,0,0,23,True
74,75-09753.txt,cs,0.396737294218,0,0,0,16,True
75,75-12662.txt,fr,1.0,0,0,0,88,True
76,75-08867.txt,en,1.0,0,0,0,145,True
77,75-09046.txt,de,1.0,0,0,0,50,True
78,75-07931.txt,en,1.0,0,0,0,62,True
79,75-09783.txt,it,1.0,1,2,1,36,False
80,75-04930.txt,it,1.0,2,2,0,45,False
81,75-03467.txt,en,1.0,6,9,3,133,False
82,75-06346.txt,fr,1.0,1,2,0,67,False
83,75-13848.txt,en,1.0,1,1,0,65,False
84,75-03955.txt,de,0.999999999982,0,0,0,6,True
85,75-08922.txt,fr,1.0,0,0,0,38,True
86,75-09991.txt,de,1.0,2,2,1,67,False
87,75-08857.txt,fr,0.864044192527,0,0,0,2,True
88,75-12857.txt,de,1.0,0,0,0,6,True
89,75-13614.txt,de,1.0,1,1,0,97,False
90,75-15367.txt,fr,1.0,0,0,0,8,True
91,75-12501.txt,fr,1.0,3,4,2,93,False
92,75-08800.txt,de,1.0,0,0,0,38,True
93,75-13349.txt,it,1.0,0,0,0,27,True
94,75-10741.txt,fr,1.0,0,0,0,66,True
95,75-11541.txt,fr,1.0,0,0,0,75,True
96,75-04695.txt,de,1.0,0,0,0,50,True
97,75-13982.txt,de,1.0,0,0,0,74,True
98,75-09354.txt,fr,1.0,0,1,0,37,False
99,75-11729.txt,fr,1.0,0,0,0,70,True
100,75-10737.txt,fr,1.0,0,0,0,142,True
101,75-12976.txt,en,1.0,0,0,0,67,True
102,75-13833.txt,de,1.0,0,0,0,96,True
103,75-03508.txt,fr,1.0,2,3,1,59,False
104,75-04459.txt,en,1.0,0,0,0,23,True
105,75-13304.txt,it,1.0,0,0,0,29,True
106,75-02172.txt,de,1.0,1,1,0,84,False
107,75-04949.txt,fr,1.0,0,0,0,39,True
108,75-06442.txt,fr,1.0,0,0,0,43,True
109,75-09374.txt,fr,1.0,0,0,0,49,True
110,75-02421.txt,fr,1.0,4,7,0,66,False
111,75-14183.txt,it,1.0,0,0,0,46,True
112,75-04833.txt,fr,1.0,0,0,0,31,True
113,75-05008.txt,de,1.0,1,2,1,11,False
114,75-10917.txt,de,1.0,0,0,0,21,True
115,75-07026a.txt,de,1.0,0,0,0,10,True
116,75-11676.txt,fr,1.0,0,0,0,60,True
117,75-09504.txt,fr,1.0,0,0,0,20,True
118,75-11422.txt,de,1.0,0,0,0,21,True
119,75-00934.txt,en,1.0,0,0,0,89,True
120,75-06833.txt,es,1.0,0,0,0,24,True
121,75-12436.txt,es,1.0,0,0,0,70,True
122,75-09220.txt,fr,1.0,0,0,0,23,True
123,75-04055.txt,it,1.0,0,0,0,58,True
124,75-02051.txt,it,1.0,0,0,0,22,True
125,75-15334.txt,fr,0.999773800089,0,0,0,5,True
126,75-03811.txt,de,1.0,1,1,0,80,False
127,75-07867.txt,fr,1.0,0,0,0,14,False
128,75-06502.txt,fr,1.0,2,3,0,29,False
129,75-12627.txt,de,1.0,0,0,0,66,False
130,75-07885.txt,fr,1.0,0,0,0,47,False
131,75-05705.txt,it,1.0,0,0,0,8,False
132,75-01439.txt,it,1.0,1,1,0,37,False
133,75-10838.txt,es,1.0,0,0,0,155,False
134,75-04120.txt,de,1.0,0,0,0,114,False
135,75-08669.txt,fr,1.0,0,0,0,39,False
136,75-14076.txt,fr,1.0,0,0,0,15,False
137,75-13199.txt,it,1.0,0,0,0,7,False
138,75-13618.txt,en,1.0,2,2,0,162,False
139,75-01009.txt,en,1.0,1,1,0,81,False
140,75-13822.txt,fr,1.0,0,0,0,5,False
141,75-07782.txt,fr,1.0,0,0,0,15,False
142,75-04902.txt,it,1.0,7,8,7,57,True
143,75-10652.txt,de,1.0,0,0,0,65,False
144,75-06318.txt,en,1.0,0,2,1,141,False
145,75-10672.txt,de,1.0,0,0,0,83,False
146,75-09419.txt,fr,1.0,0,0,0,47,False
147,75-10716.txt,fr,1.0,0,0,0,24,False
148,75-06646.txt,fr,1.0,1,1,0,63,False
149,75-12624.txt,en,1.0,0,2,1,76,False
150,75-05797.txt,fr,1.0,0,0,0,19,False
151,75-08521.txt,it,1.0,0,0,0,20,False
152,75-12006.txt,de,1.0,0,0,0,41,False
153,75-05074.txt,es,1.0,1,2,0,106,False
154,75-09400.txt,de,1.0,0,0,0,17,False
155,75-04090.txt,en,1.0,4,4,0,61,False
156,75-03362.txt,it,1.0,0,0,0,10,False
157,75-06783.txt,fr,1.0,0,0,0,33,False
158,75-03115.txt,es,1.0,0,1,0,92,False
159,75-12946.txt,de,1.0,0,0,0,26,False
160,75-07378.txt,fr,1.0,0,0,0,9,False
161,75-09053.txt,it,1.0,0,0,0,61,False
162,75-11162.txt,it,1.0,0,0,0,16,False
163,75-07288.txt,es,1.0,0,0,0,41,False
164,75-04375.txt,fr,1.0,0,0,0,93,False
165,75-12013.txt,fr,1.0,2,7,0,123,False
166,75-11761.txt,de,1.0,0,0,0,64,False
167,75-08124.txt,de,1.0,0,0,0,23,False
168,75-13966.txt,fr,1.0,0,0,0,43,False
169,75-07876.txt,fr,1.0,0,0,0,14,False
170,75-00913.txt,de,1.0,1,1,0,41,False
171,75-03514.txt,it,1.0,0,0,0,98,False
172,75-08599.txt,en,1.0,0,0,0,97,False
173,75-06208.txt,en,1.0,5,8,4,44,False
174,75-09309.txt,es,1.0,0,0,0,112,False
175,75-12076.txt,de,0.999999999991,0,1,0,10,False
176,75-07504.txt,it,1.0,0,0,0,23,False
177,75-09830.txt,de,1.0,0,0,0,36,False
178,75-13973.txt,fr,1.0,0,0,0,33,False
179,75-00183.txt,fr,1.0,0,0,0,10,False
180,75-12172.txt,de,1.0,0,0,0,17,False
181,75-05244.txt,it,1.0,1,2,1,34,False
182,75-08446.txt,fr,1.0,0,0,0,32,False
183,75-03797.txt,fr,1.0,1,1,0,30,False
184,75-06251.txt,it,1.0,1,1,0,37,False
185,75-03111.txt,de,1.0,0,0,0,37,False
186,75-09357.txt,fr,1.0,0,0,0,17,False
187,75-08367.txt,it,1.0,0,0,0,28,False
188,75-03169.txt,it,1.0,1,2,0,32,False
189,75-08875.txt,en,1.0,0,0,0,88,False
190,75-09612.txt,it,1.0,0,0,0,29,False
191,75-00920.txt,fr,0.999999908212,0,0,0,23,False
192,75-13475.txt,it,1.0,0,0,0,30,False
193,75-05764.txt,it,1.0,0,0,0,13,False
194,75-08332.txt,it,1.0,0,0,0,35,False
195,75-06332.txt,fr,1.0,0,0,0,74,False
196,75-01909.txt,it,1.0,2,2,0,26,False
197,75-00874.txt,it,1.0,0,0,0,30,False
198,75-02296.txt,fr,1.0,0,0,0,47,False
199,75-07376.txt,fr,1.0,1,1,0,72,False
200,75-13414a.txt,fr,1.0,0,0,0,9,False
201,75-12482.txt,fr,1.0,0,0,0,37,False
202,75-06993.txt,es,1.0,2,2,0,87,False
203,75-06669.txt,it,1.0,0,0,0,15,False
204,75-06994.txt,fr,1.0,0,0,0,173,False
205,75-04523.txt,it,1.0,1,1,0,29,False
206,75-08931.txt,it,1.0,1,1,0,54,False
